Nível de Utilização [%];Potência instalada [kVA];Coordenadas Geográficas
20%-39%;400;40.9151522918257, -8.43155255210304
0%-19%;630;38.7244168621506, -9.15645743736793
60%-79%;250;38.8246940757433, -9.44472036506497
40%-59%;250;41.1396823950119, -7.95223699348019
40%-59%;250;41.1415049070659, -8.25351250561783
20%-39%;400;41.1408461881982, -8.52134825780183
40%-59%;250;41.3157623392267, -8.22959492514061
0%-19%;50;37.9403547037903, -7.57977867479557
20%-39%;50;39.8071495544148, -8.04523217086222
20%-39%;630;37.1280369126234, -8.58173251909335
40%-59%;250;37.0730386716934, -7.95948064657121
20%-39%;250;37.0795058908574, -7.78905031901883
0%-19%;630;41.1022651878948, -8.63864396393188
80%-99%;100;39.5187773475442, -8.7284370597416
40%-59%;250;38.6189527039272, -8.99687851266752
+100%;100;38.7228022277493, -8.76310170140529
40%-59%;250;38.5341281504187, -8.8787077883002
40%-59%;400;38.6381920167299, -9.0963323964023
40%-59%;100;41.5489712596086, -7.68847150646302
60%-79%;250;41.7389526757712, -7.46867460758641
20%-39%;50;40.8314048485778, -7.61814181913727
40%-59%;50;40.5129770765427, -8.11156827757947
60%-79%;100;40.5608519907523, -7.95408604446413
20%-39%;250;40.8957749832932, -7.74034881332434
20%-39%;630;41.5330617814142, -8.47786339596255
20%-39%;630;39.5454231013108, -8.97592479427377
0%-19%;630;38.7321091246287, -9.14778719529599
20%-39%;400;38.8606943124833, -9.32628720803116
0%-19%;50;39.0419548391417, -8.07352066728784
0%-19%;630;41.2490604527428, -8.63259955458449
0%-19%;1260;41.205832417325, -8.27640594793723
20%-39%;250;41.1893387070107, -8.39729494434754
20%-39%;400;40.5567995845873, -8.68225077149383
20%-39%;500;38.0049543562006, -7.85495828515587
40%-59%;400;39.9169811623087, -7.46111140976862
40%-59%;630;39.2366472383395, -8.69360674967477
0%-19%;100;39.4504307046463, -8.0056347113867
20%-39%;250;39.2910831892467, -8.74247080165219
20%-39%;100;38.9661067792544, -8.61198785961692
60%-79%;100;40.3887503500288, -8.23338847956962
20%-39%;100;40.6549380953368, -7.86459924655456
0%-19%;50;41.5210622566056, -8.71827049614338
60%-79%;100;41.4590342625154, -8.25982643800138
60%-79%;250;40.1749921636719, -8.89468107266504
40%-59%;400;39.361790959391, -9.0907773767266
60%-79%;50;39.6102114233038, -8.93850060516479
20%-39%;250;40.6985280255053, -7.15536243193685
60%-79%;50;39.9367404386246, -8.42015364017367
20%-39%;160;40.3632207898373, -7.72298402839011
60%-79%;250;39.7879081405033, -8.7468698409325
0%-19%;50;40.0140627731344, -8.57182077790336
20%-39%;630;38.7297433239385, -9.14627128843887
60%-79%;400;38.9734930636448, -9.25373066528094
80%-99%;160;39.0630422250572, -9.29486255283176
40%-59%;400;41.1951484831453, -8.60637445750679
20%-39%;160;37.9094370130402, -8.28765437493845
60%-79%;250;41.502035388496, -8.4152386281068
40%-59%;630;39.8224373664433, -7.48774968760622
+100%;50;40.2502530598577, -8.14001828352316
20%-39%;50;37.3383639037609, -8.59667447487483
60%-79%;50;37.1831146706099, -8.46862903938528
40%-59%;50;37.3718296700495, -8.76204822889322
0%-19%;630;41.050662638634, -8.64300232741835
40%-59%;100;39.4771368041572, -8.35466688856893
+100%;250;39.486265550511, -8.53730066852336
40%-59%;400;38.4580009690649, -9.10681631748521
0%-19%;250;41.7012716582755, -8.83384227996079
20%-39%;100;41.8007768681749, -8.65147766932488
+100%;400;41.1639699281628, -7.79286919511574
20%-39%;250;41.4837282650946, -7.95827407283081
40%-59%;500;41.5563296968259, -8.4258725722259
20%-39%;250;41.5899810703193, -8.78148068176568
20%-39%;160;41.3947617094751, -8.13381923440951
80%-99%;250;40.0344830451611, -8.82094100078855
20%-39%;630;39.6516444731796, -8.98789189843207
20%-39%;400;39.2751411889452, -9.08355528168152
0%-19%;630;38.7343304487985, -9.14128751943674
0%-19%;630;38.68112245, -9.33060590687818
40%-59%;400;38.1355285185594, -7.4552049280658
40%-59%;250;41.3694608201616, -8.7510264972456
0%-19%;250;39.3389979661686, -8.94865837596996
80%-99%;160;39.754537034766, -8.36995904124202
40%-59%;100;38.9800167954009, -8.28489744981266
60%-79%;160;39.4428133792826, -8.54954337966312
0%-19%;100;38.4718571938446, -9.09527698685745
20%-39%;160;38.5158642951956, -8.82778998360932
+100%;250;41.4453868664154, -8.29979606786958
80%-99%;160;40.1638879745426, -8.42231447983123
0%-19%;250;39.6430904637385, -8.84103774706047
20%-39%;630;38.7116436455202, -9.4047755536658
20%-39%;250;38.6877868229919, -9.30199819870355
20%-39%;400;38.7786552517378, -9.33255017391518
20%-39%;630;38.7833966197506, -9.18964474640969
0%-19%;160;39.1768140865522, -9.27319445057606
40%-59%;400;38.954667231808, -9.02085886889093
40%-59%;100;39.830057884537, -8.11141757550822
20%-39%;50;37.214720307298, -8.60069379924348
0%-19%;400;41.0838729384314, -8.63915971446715
20%-39%;100;39.4133903391261, -8.87621917640078
40%-59%;50;42.0294412242392, -8.541134518925
+100%;50;42.0905114506672, -8.30855113990109
80%-99%;100;40.4667485508751, -8.11082700949918
60%-79%;160;41.4427847299001, -8.20719999367738
40%-59%;100;41.3829323408549, -8.35883670505346
40%-59%;50;40.1424091905816, -8.28901985931426
0%-19%;100;38.5693174885678, -7.32817964557491
0%-19%;100;38.4757374383803, -7.71856759755723
40%-59%;30;40.3944805437012, -7.06240753200484
0%-19%;160;40.5629367196284, -7.25686388899276
20%-39%;630;38.7111888002203, -9.16116325168034
80%-99%;160;38.9082984455578, -9.16781369300823
20%-39%;250;38.7944231981419, -9.43922121682637
40%-59%;630;38.7714489623143, -9.28555276183012
60%-79%;400;41.1707650885493, -8.52566315896472
20%-39%;400;41.1701322078556, -8.14516982279111
60%-79%;50;37.4950261323885, -8.64538143148323
20%-39%;630;40.2648613548346, -7.49198839224553
0%-19%;50;40.3225705314668, -8.6970285384509
+100%;50;40.0869003375916, -7.42769063738139
20%-39%;160;37.0871370936584, -8.42798812458916
20%-39%;100;39.4041902832511, -8.90237796661343
20%-39%;160;39.2583416713073, -8.72929737523142
20%-39%;400;38.6333950307949, -8.74479425712109
20%-39%;250;38.5204050939752, -8.83239108866768
60%-79%;100;41.8408670345794, -8.86023521159973
40%-59%;160;42.0488979062137, -8.40124155429459
20%-39%;100;40.4225605772414, -8.14052765844438
80%-99%;315;40.8383426271055, -8.47310564463852
20%-39%;160;41.478995486435, -8.13524051227769
20%-39%;100;41.4452794090535, -8.03934805837468
60%-79%;25;41.6377580041225, -6.7905313960844
40%-59%;160;38.8387159290772, -7.59872792039644
0%-19%;400;39.5228269620514, -9.12276038463626
60%-79%;250;39.4568855926695, -9.14000181277544
40%-59%;100;39.9879775329697, -8.58991091077296
40%-59%;630;38.6925251964062, -9.33725926152123
40%-59%;50;39.8344205197927, -8.65118304456871
60%-79%;630;38.7673509682457, -9.29827886766249
20%-39%;630;38.9684960752919, -9.19717818798795
60%-79%;250;41.2162777840208, -8.15797330496729
40%-59%;100;38.0224804332539, -7.82500796701301
60%-79%;400;40.3608322200209, -7.35016416209471
40%-59%;100;41.6088138086915, -6.47081837528451
80%-99%;250;40.3559251226625, -8.59406644089302
20%-39%;100;37.2344278906092, -8.03789436694915
0%-19%;250;41.2732159072694, -8.67500356094069
20%-39%;160;39.4740051894265, -8.56352255434255
20%-39%;630;38.5252356274478, -8.89808974345103
+100%;250;38.6600407917178, -9.20186333931146
20%-39%;100;38.5168798817652, -8.96792077163756
0%-19%;160;41.6551334555744, -8.59163054510533
20%-39%;160;41.6043185302709, -8.12340665557807
0%-19%;400;41.4363698311893, -8.29475595426073
40%-59%;630;38.7659188066734, -9.2119228379905
40%-59%;250;38.8149961984337, -9.23589643328198
40%-59%;250;41.2447177714601, -8.38595622451511
20%-39%;1260;41.2076842513335, -8.2823293756805
20%-39%;50;37.5414884190752, -8.4814361157131
20%-39%;50;37.6012636259639, -8.67633144745927
80%-99%;100;41.4791688541465, -8.60909730787017
0%-19%;400;37.5120879080297, -8.06959644006424
+100%;50;40.2199167807712, -8.0195894636845
40%-59%;100;41.2302571874395, -7.11090182138651
60%-79%;250;38.6147189509589, -8.79678317853066
60%-79%;100;41.1300678713862, -7.75675075716665
40%-59%;250;40.7057723186142, -7.91958179113304
80%-99%;100;40.0391117242439, -8.77109448291455
40%-59%;400;40.360371090375, -7.89242835804
40%-59%;400;38.7603159662366, -9.20961373436166
40%-59%;200;41.1369192125122, -7.94572409620821
40%-59%;250;41.4977086260141, -8.62168854355599
40%-59%;50;40.273336780244, -7.90003855719595
80%-99%;100;39.804665073512, -8.13817673518879
60%-79%;50;40.3518623186227, -7.33579524418724
20%-39%;50;39.9853395438239, -7.91640117024441
20%-39%;50;40.2190102072902, -7.21607568125032
40%-59%;100;37.2061607736171, -8.40922212105502
0%-19%;400;41.3431444898072, -8.56243023815623
80%-99%;250;41.3096183600851, -8.73792967918683
40%-59%;250;39.1711612678917, -8.57570557443031
60%-79%;400;38.5288854355145, -8.86627325734492
20%-39%;400;38.7481131258587, -8.96020158874408
+100%;250;40.7105461809279, -7.91411985863473
20%-39%;400;39.1570307961439, -8.7869070580755
40%-59%;100;40.3804804494034, -8.19811147935359
0%-19%;50;40.9357638228767, -7.7880031344148
60%-79%;250;40.4852045707745, -8.44753010317706
40%-59%;400;40.6016092001396, -8.66376725873924
20%-39%;630;41.5301352890065, -8.7817479497617
+100%;50;40.9741242468232, -7.13832842447689
0%-19%;160;39.3580241026095, -9.16561034487946
20%-39%;1260;38.7718398223778, -9.09828402770143
60%-79%;50;39.9804770813128, -8.22382558833395
40%-59%;630;38.7003788957302, -9.41798860022742
20%-39%;630;39.4177147637455, -7.45407876292616
60%-79%;100;39.2878493825396, -7.40836523933478
80%-99%;160;41.28942547605, -8.07274641981384
80%-99%;50;40.2648651279117, -8.10780167120177
20%-39%;250;40.2940310235529, -7.36197254264893
0%-19%;630;37.1272288025852, -8.28480733698674
20%-39%;630;41.1179201650014, -8.60683265269678
20%-39%;250;41.3273176460538, -8.58705554378965
20%-39%;250;38.9087195900047, -8.88143016585835
80%-99%;100;39.1187253987097, -8.63841197152838
0%-19%;400;41.6939545734491, -8.83295560063205
20%-39%;100;41.8201079721964, -8.25786487180567
60%-79%;50;41.7275972268222, -8.70227925458815
0%-19%;50;41.2977010011744, -7.78714994409062
0%-19%;200;40.6528565592875, -8.3466458637439
40%-59%;160;41.4679279719402, -8.49149222840536
20%-39%;100;41.3716385304836, -8.38614387985904
20%-39%;100;41.4223597727795, -8.00874883765459
20%-39%;1030;40.2115382419768, -8.43205460963395
20%-39%;100;37.0904363128123, -8.88245479094646
20%-39%;100;37.1574055352259, -7.55406265381436
20%-39%;100;40.3893477609816, -7.38806756046918
40%-59%;630;38.7686012060159, -9.15576401539406
40%-59%;630;38.7546770205384, -9.25228204226932
40%-59%;630;39.2514672414258, -8.01420292018084
40%-59%;100;41.2019721220455, -7.92385379179988
40%-59%;400;37.1692256420692, -8.5333915288469
80%-99%;250;37.1105282033637, -8.45650183322893
20%-39%;400;41.1630740087225, -8.66128989974059
80%-99%;100;41.3050119829506, -8.6581822108276
0%-19%;400;41.0801351089118, -8.58488623896357
60%-79%;250;38.6087645190284, -8.88812471082177
0%-19%;630;41.6526881499372, -7.93564231000234
20%-39%;50;41.3607318112914, -7.767909839683
20%-39%;100;41.1141221060224, -7.91307887095359
40%-59%;250;41.0862150179974, -8.07651162904384
0%-19%;630;41.450223456881, -8.28602377172046
60%-79%;400;38.5898801847622, -7.90925691523068
0%-19%;630;40.0243196333377, -8.38327254503256
20%-39%;160;40.4214735263875, -7.82263963472019
20%-39%;250;38.8462919888892, -9.34490080104448
40%-59%;400;38.954662967069, -9.23825978669462
20%-39%;630;38.7568913200388, -9.17628313139858
60%-79%;800;38.779997531093, -9.32299825426409
40%-59%;1260;38.7848668547016, -9.31236119729173
20%-39%;400;39.0909720214874, -9.30253403274707
20%-39%;2520;41.2197844495543, -8.56304601002357
20%-39%;25;37.4797644809908, -8.27588269043076
20%-39%;630;39.8204579660683, -7.48622858599626
0%-19%;630;37.1357635483801, -8.5131953895407
40%-59%;315;41.428551010093, -8.77833305432356
60%-79%;630;41.1733203419176, -8.68581610816278
20%-39%;100;39.2601516882731, -8.55521392177042
40%-59%;630;39.4616436523646, -8.1978168536045
80%-99%;100;39.4045519275746, -8.61488682382692
20%-39%;400;38.6696875220427, -9.15913162025099
40%-59%;100;39.6688730600369, -8.58466070531537
20%-39%;50;38.1459640781991, -8.60659950162018
+100%;100;38.6126078059758, -8.99110266152091
20%-39%;250;41.6578426532231, -8.70930268372699
40%-59%;100;40.3435936574492, -8.26869769792495
60%-79%;400;40.8891333192811, -8.55037269031347
0%-19%;630;40.5202001662711, -8.42882041037591
0%-19%;400;41.4406310845084, -8.21728096698648
60%-79%;100;40.240545620369, -8.69295910992008
60%-79%;160;40.381359765746, -7.85220965018276
20%-39%;250;40.1889382203233, -8.83168112165218
0%-19%;100;40.0209825204743, -8.37389387477732
60%-79%;160;40.47385441343, -7.6304744561267
0%-19%;50;40.7959482271616, -7.34632213708756
0%-19%;1260;38.7089109227683, -9.14014463045539
60%-79%;500;38.7088218367591, -9.42506345334375
0%-19%;100;39.8337966593068, -8.54598493670117
40%-59%;630;39.7451034228432, -8.80939890266931
0%-19%;630;38.7685350489366, -9.2713481308285
20%-39%;400;38.7246583760087, -9.22313262153272
20%-39%;630;38.7938075110881, -9.33268208674669
40%-59%;630;41.1897882201832, -8.63545202887518
60%-79%;100;41.2167224506133, -8.05980510377606
60%-79%;250;40.2415676374055, -7.29569196040148
40%-59%;400;40.2881939392622, -7.50352071884634
20%-39%;100;37.0831553882493, -7.7142244509042
0%-19%;630;38.6677010293153, -8.4811051899014
40%-59%;630;37.103562677736, -8.2226670890612
20%-39%;100;37.2472648180791, -8.16890783513412
40%-59%;400;41.1771747962764, -8.62871190158664
20%-39%;630;39.2351207574006, -8.67801033498959
0%-19%;630;39.4544830566478, -8.19874004475128
60%-79%;100;39.3834706801004, -8.92217905890325
0%-19%;400;39.6227099533831, -7.91869590348338
40%-59%;400;38.7066704700082, -8.98790223733779
40%-59%;630;38.6559357981285, -9.02363611652665
40%-59%;100;41.1731629260804, -7.81468613065641
20%-39%;100;41.7615060693655, -8.48279994088515
60%-79%;100;40.9323847422631, -8.36705835343297
20%-39%;100;40.5451653693067, -8.31999659306829
20%-39%;630;41.4379272635182, -8.3114959074251
20%-39%;160;41.6319280140849, -8.43691402250289
80%-99%;160;41.4730570667153, -8.36022457147233
20%-39%;160;39.3928655600659, -9.05919458911296
60%-79%;160;39.7397984632438, -8.77698851105353
20%-39%;250;38.7441458011095, -9.40316397041952
0%-19%;630;38.7584986963229, -9.09562548976455
40%-59%;630;38.6989701259095, -9.34575892393548
0%-19%;400;39.0264175706487, -9.144330764579
60%-79%;160;39.042182243169, -9.19310772733681
20%-39%;500;41.2593051018399, -8.63335360583442
40%-59%;250;41.3031261234987, -8.23278349314678
0%-19%;250;41.1489612644584, -7.95155165844225
40%-59%;250;37.1144234019525, -8.42361971296673
20%-39%;630;41.0349165742467, -8.56616562480236
20%-39%;100;39.5781896586284, -7.97766687965799
20%-39%;250;39.4778551451008, -8.16712439940968
80%-99%;250;38.6440566245342, -9.19659815210974
+100%;50;41.3279416300407, -7.60485509348077
80%-99%;100;41.165966535105, -7.81894434984167
20%-39%;630;42.0906048564129, -8.32077356960447
40%-59%;250;41.9074500824586, -8.78979054560156
20%-39%;100;41.6967462506142, -7.45867126317155
80%-99%;100;41.3606470274577, -7.7199280840826
0%-19%;630;38.7412278280264, -9.14616379279501
0%-19%;400;39.6922961036247, -8.92189340793223
20%-39%;630;39.2381889399018, -9.30877511707685
60%-79%;100;39.1639839037645, -9.16108601957193
40%-59%;100;39.1466552636952, -9.30699091778225
20%-39%;400;41.1395545608835, -8.56556826962943
60%-79%;250;41.3282449449901, -8.34726010019007
0%-19%;50;38.1546839199592, -7.92343251251708
20%-39%;1260;41.554499358124, -8.42425972389515
0%-19%;50;38.0933939514568, -8.09504970180531
40%-59%;50;39.8385550428343, -7.61598524799872
0%-19%;50;39.9396968360972, -7.14479880037485
0%-19%;100;39.7784942550887, -7.58214455930733
40%-59%;250;40.133024652701, -8.43131211255997
20%-39%;100;40.0227414601513, -7.48842370696225
0%-19%;630;39.8239211820153, -7.48897452373239
40%-59%;400;37.137597995786, -8.00691147191879
0%-19%;250;37.093617447127, -8.68929143736545
40%-59%;400;41.3583466000338, -8.74632143066344
+100%;100;39.2126025497253, -8.74989392784769
20%-39%;250;38.5425062255162, -8.86089470257875
40%-59%;50;39.694419310601, -8.43088081410274
60%-79%;400;38.3754744331514, -8.51495903578084
40%-59%;250;41.7646261117588, -7.61075847251271
20%-39%;50;41.1748822110206, -7.55183990857483
20%-39%;160;40.7280305731204, -8.02846595284793
20%-39%;250;40.9351947753508, -8.47236606968885
40%-59%;400;40.913822239524, -8.53350955144219
60%-79%;160;41.5914051336125, -8.47944215156689
20%-39%;160;41.3624343287712, -8.54747098375461
20%-39%;250;39.3614908228681, -9.18752329229335
40%-59%;100;39.8996326577882, -8.62798947907482
40%-59%;800;38.7121078908353, -9.12607313206545
40%-59%;500;38.8340408391637, -9.36415413598724
40%-59%;500;38.7642930167879, -9.12117437445522
0%-19%;2000;38.7348136749357, -9.14044116646508
20%-39%;400;37.0464218267634, -8.02422334849218
80%-99%;250;41.3161808196412, -8.57686765929853
20%-39%;400;41.0996580433592, -8.61463003886654
80%-99%;250;38.5766257856819, -9.15216417725373
60%-79%;250;38.6327669172683, -9.22444331258422
20%-39%;50;41.9749471400114, -8.38611965917767
40%-59%;160;41.4128533768123, -7.96290474947185
+100%;50;41.8851387129124, -8.5741982500599
20%-39%;50;40.5633884239999, -7.85164787035571
20%-39%;100;40.5984079077466, -8.19221517617635
0%-19%;50;41.1452660312347, -7.51413457831718
20%-39%;50;40.350109288737, -8.36643560056509
40%-59%;250;41.4450592959133, -8.22130873198325
20%-39%;100;38.5945201788366, -7.91861103780768
60%-79%;100;40.0280795115266, -8.5501752110461
40%-59%;250;39.5728027220864, -9.06772134655537
80%-99%;250;39.3299296420262, -9.23393319577727
0%-19%;1260;38.728656063453, -9.14825347251531
0%-19%;100;41.3592086127691, -8.15878714484854
20%-39%;400;41.239626516891, -8.72297612867212
40%-59%;250;38.1413126176966, -7.4536800984995
20%-39%;50;39.8896774535427, -7.98166101123646
40%-59%;630;39.8087629282011, -7.51804913484817
20%-39%;400;41.1683223981082, -8.64905384263802
40%-59%;400;41.3341389190911, -8.56103401175667
40%-59%;160;41.3025584569732, -8.60551507544473
0%-19%;250;39.5991455220458, -8.40961525484074
0%-19%;160;39.3599890284192, -8.46952995178732
40%-59%;100;39.4994800145377, -8.56177218628872
20%-39%;50;37.8039193159891, -8.58204424372862
40%-59%;250;40.7446166300677, -8.46914941561954
60%-79%;250;41.6028902255161, -8.46513036084588
20%-39%;160;41.5692835896189, -8.16802812099247
40%-59%;630;41.5108132266362, -8.76984691279915
80%-99%;250;41.3908497757797, -8.41184304780865
40%-59%;200;41.4176916966533, -8.44502096180131
40%-59%;250;38.7952019028197, -8.23129786782624
20%-39%;250;40.0024108103974, -8.2119573519461
60%-79%;630;40.006024359637, -8.20975987538764
40%-59%;100;39.4236284077022, -7.46382145808965
40%-59%;630;38.7611229451237, -9.26825616854497
40%-59%;250;41.1018574329353, -8.21651790324616
